movie_title,genres,tomatometer_rating
Notorious,Drama; Musical & Performing Arts,52.0
Soul Men,Comedy; Musical & Performing Arts,46.0
Igor,Animation; Comedy; Kids & Family,39.0
The Matador,Documentary; Special Interest,73.0
The Auteur,Comedy,67.0
The Caller,Drama; Mystery & Suspense,13.0
Sin Nombre,Drama; Mystery & Suspense,88.0
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),Art House & International; Drama,28.0
The Stone Angel,Drama,44.0
Alvin and the Chipmunks: The Squeakquel,Animation; Comedy; Kids & Family,20.0
Un Conte de Noël (A Christmas Tale),Art House & International; Comedy; Drama,86.0
The Rebound,Comedy; Romance,41.0
Ripple Effect,Drama,29.0
1;000 Times Good Night,Drama,71.0
Harold,Comedy,31.0
Push,Mystery & Suspense; Science Fiction & Fantasy,23.0
Felon,Action & Adventure; Drama; Mystery & Suspense,63.0
Scar,Drama; Horror; Mystery & Suspense,0.0
The Unborn,Horror; Mystery & Suspense,10.0
Bitch Slap,Action & Adventure,29.0
Forever Strong,Drama,29.0
Chocolate,Action & Adventure; Art House & International,74.0
Fireproof,Drama,38.0
Dostana,Art House & International; Comedy,87.0
The Garden,Documentary; Special Interest,79.0
Splinter,Horror; Mystery & Suspense,73.0
Leaves of Grass,Comedy; Drama; Mystery & Suspense,61.0
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),Romance,78.0
The Proposal,Comedy; Romance,45.0
Gigantic,Comedy; Romance,36.0
Fuel,Documentary; Special Interest,72.0
Hush,Mystery & Suspense,50.0
Anna Karenina,Classics; Drama; Romance,93.0
Orphan,Drama; Horror; Mystery & Suspense,56.0
My Sister's Keeper,Drama,48.0
The Hangover,Comedy,78.0
The Stepfather,Horror; Mystery & Suspense,11.0
Okuribito (Departures),Art House & International; Drama,80.0
Boogie (Summer Holiday),Comedy; Drama,100.0
Prima Ballerina,Art House & International; Special Interest,81.0
Season of the Witch,Action & Adventure; Drama; Mystery & Suspense; Science Fiction & Fantasy,11.0
Shuttle,Mystery & Suspense,50.0
Miss March,Comedy,5.0
An American Affair,Drama; Mystery & Suspense,16.0
Grace,Drama; Horror,71.0
Endgame,Drama; Mystery & Suspense,71.0
The Red Baron (Der rote Baron),Action & Adventure; Drama; Romance,20.0
The Objective,Action & Adventure; Horror; Mystery & Suspense; Science Fiction & Fantasy,33.0
Happy Tears,Comedy; Drama,27.0
The Missing Person,Comedy; Drama; Mystery & Suspense,64.0
Polanski (Polanski Unauthorized),Art House & International; Drama,0.0
Mammoth (Mammut),Art House & International; Drama,45.0
Crude,Documentary; Special Interest,95.0
The Messenger,Drama; Romance,90.0
Lake Mungo,Horror; Mystery & Suspense,95.0
Venkovský Ucitel (The Country Teacher),Art House & International; Drama,81.0
The Apartment,Classics; Comedy; Drama; Romance,93.0
Chatham (The Golden Boys),Comedy; Romance,28.0
The Ape,Classics; Drama; Horror; Science Fiction & Fantasy,43.0
Fame,Drama; Musical & Performing Arts; Romance,24.0
Outrage,Documentary,77.0
Skin,Art House & International; Drama; Mystery & Suspense,84.0
Helen,Drama,67.0
Bakjwi (Thirst),Art House & International; Drama; Horror,81.0
Vengeance (Fuk sau),Action & Adventure; Art House & International; Mystery & Suspense,91.0
New World Order,Documentary; Special Interest,56.0
April Fool's Day,Horror,50.0
Blood: The Last Vampire,Action & Adventure; Art House & International; Horror; Science Fiction & Fantasy,25.0
Shrink,Comedy; Drama,27.0
Ong Bak 2,Action & Adventure; Art House & International,48.0
Bananas!,Art House & International; Documentary; Special Interest,86.0
Last Ride,Drama,93.0
Tron Legacy,Action & Adventure; Science Fiction & Fantasy,51.0
The Canyon,Drama; Mystery & Suspense,27.0
Manson; My Name Is Evil,Comedy; Drama; Science Fiction & Fantasy,67.0
Broken Hill,Drama; Kids & Family,50.0
A Beautiful Life,Drama,0.0
Suck,Comedy; Horror; Musical & Performing Arts,50.0
Chloe,Drama; Mystery & Suspense,51.0
Armed and Dangerous,Comedy,10.0
The Hole,Kids & Family; Mystery & Suspense; Science Fiction & Fantasy,81.0
NoBody's Perfect,Art House & International; Documentary; Drama; Special Interest; Sports & Fitness,73.0
The Good Soldier,Documentary; Drama; Special Interest; Television,75.0
High Life,Comedy,80.0
Around the World in 80 Days,Action & Adventure; Comedy; Drama; Kids & Family,69.0
The Fall,Drama; Mystery & Suspense,20.0
The Good Heart,Drama,30.0
Wonderful World,Drama; Romance,42.0
Collapse,Documentary; Special Interest,83.0
Three Blind Mice,Comedy; Drama,80.0
The Last Song,Drama; Kids & Family; Romance,21.0
Babies,Documentary; Special Interest,68.0
Lottery Ticket,Comedy,34.0
Going the Distance,Comedy; Romance,54.0
Life as We Know It,Comedy; Drama,29.0
The Final,Drama; Horror; Mystery & Suspense,13.0
Frozen,Drama; Horror; Mystery & Suspense,63.0
Prodigal Sons,Documentary; Special Interest,87.0
The Ghost Writer,Drama; Mystery & Suspense,84.0
Repo Men,Action & Adventure; Science Fiction & Fantasy,22.0
7 Days (Les 7 jours du talion),Art House & International; Horror; Mystery & Suspense,80.0
Daddy Longlegs,Comedy; Drama,78.0
Veer,Art House & International; Classics; Drama,40.0
Winter's Bone,Drama,94.0
The Kids Are All Right,Comedy; Drama,92.0
Lucky,Documentary; Special Interest,60.0
High School,Comedy,28.0
Stolen,Drama; Mystery & Suspense,0.0
The Killing Jar,Drama; Mystery & Suspense,0.0
La MISSION,Drama,50.0
Predators,Action & Adventure; Horror; Science Fiction & Fantasy,64.0
Stonewall Uprising,Documentary; Special Interest,84.0
The Oath,Documentary; Special Interest,91.0
The Wild Hunt,Drama; Mystery & Suspense; Science Fiction & Fantasy,82.0
Arthur,Comedy; Romance,88.0
The Lottery,Documentary; Special Interest,64.0
Assault on Precinct 13,Action & Adventure; Drama; Mystery & Suspense,98.0
Asylum,Documentary; Horror; Mystery & Suspense; Science Fiction & Fantasy; Special Interest; Romance,67.0
Attack of the 50 Foot Woman,Classics; Science Fiction & Fantasy,75.0
Avenging Angel,Action & Adventure; Drama; Mystery & Suspense,33.0
The Aviator,Action & Adventure; Drama,20.0
The Awakening,Horror; Mystery & Suspense,0.0
Babes in Toyland,Kids & Family; Musical & Performing Arts; Science Fiction & Fantasy; Romance,36.0
Bad Company,Action & Adventure; Drama; Western,92.0
The Bad News Bears,Classics; Comedy,97.0
The Bad Seed,Classics; Drama; Horror; Mystery & Suspense,63.0
